Wall time,Step,Value
1533705540.312292,1,0.0
1533705659.689254,101,0.03125
1533705723.8986475,201,0.15625
1533705784.7270007,301,0.09375
1533705844.6816018,401,0.03125
1533705905.3971856,501,0.09375
1533705972.2655973,601,0.15625
1533706033.1339374,701,0.09375
1533706094.8188992,801,0.0625
1533706157.0793865,901,0.15625
1533706219.6166403,1001,0.09375
1533706280.0657985,1101,0.09375
1533706347.7619402,1201,0.1875
1533706408.990486,1301,0.15625
1533706469.240363,1401,0.09375
1533706530.3638177,1501,0.125
1533706590.5942636,1601,0.15625
1533706650.5723789,1701,0.125
1533706718.8653827,1801,0.1875
1533706781.1475728,1901,0.09375
1533706841.8312829,2001,0.25
1533706901.3591273,2101,0.25
1533706962.3659089,2201,0.25
1533707022.5020008,2301,0.21875
1533707090.4606216,2401,0.40625
1533707151.4753778,2501,0.21875
1533707210.5485046,2601,0.21875
1533707270.324526,2701,0.15625
1533707331.5153136,2801,0.3125
1533707392.6551335,2901,0.1875
1533707458.2782109,3001,0.375
1533707517.0902543,3101,0.28125
1533707576.4432845,3201,0.25
1533707633.46935,3301,0.25
1533707693.1861231,3401,0.0625
1533707754.9461489,3501,0.34375
1533707822.9936926,3601,0.28125
1533707884.1008866,3701,0.3125
1533707946.3478038,3801,0.40625
1533708007.994445,3901,0.21875
1533708070.106302,4001,0.28125
1533708131.6842659,4101,0.25
1533708199.6768837,4201,0.34375
1533708260.3837717,4301,0.28125
1533708322.3008213,4401,0.46875
1533708384.2619047,4501,0.25
1533708445.5256972,4601,0.1875
1533708505.702056,4701,0.34375
1533708573.9788606,4801,0.40625
1533708636.0088255,4901,0.4375
1533708697.3310137,5001,0.40625
1533708760.0219703,5101,0.4375
1533708821.7709854,5201,0.5
1533708882.4085534,5301,0.46875
1533708951.0152292,5401,0.40625
1533709013.8912258,5501,0.59375
1533709076.700585,5601,0.5
1533709136.776429,5701,0.46875
1533709198.4057286,5801,0.53125
1533709257.9932055,5901,0.5625
1533709324.5546417,6001,0.40625
1533709384.9621964,6101,0.46875
1533709447.1589062,6201,0.375
1533709509.059384,6301,0.34375
1533709573.354899,6401,0.34375
1533709635.9958844,6501,0.5625
1533709704.3697035,6601,0.5
1533709767.7381327,6701,0.46875
1533709831.3123424,6801,0.5625
1533709892.9705474,6901,0.4375
1533709954.6102142,7001,0.625
1533710017.026392,7101,0.5625
1533710085.7134683,7201,0.5
1533710148.2643085,7301,0.40625
1533710211.8751202,7401,0.5
1533710274.1708786,7501,0.625
1533710336.5140915,7601,0.5625
1533710399.5811877,7701,0.4375
1533710470.0127048,7801,0.46875
1533710531.320744,7901,0.5
1533710591.9864323,8001,0.59375
1533710653.9610014,8101,0.375
1533710715.5086973,8201,0.4375
1533710777.4876783,8301,0.53125
1533710846.2034974,8401,0.59375
1533710905.939,8501,0.625
1533710967.2203002,8601,0.59375
1533711027.7671266,8701,0.59375
1533711088.9709284,8801,0.5
1533711151.7171357,8901,0.65625
1533711221.8452415,9001,0.5625
1533711284.3455076,9101,0.625
1533711346.6504126,9201,0.53125
1533711408.6161919,9301,0.5625
1533711471.200529,9401,0.625
1533711533.4487429,9501,0.59375
1533711601.40492,9601,0.40625
1533711664.9536629,9701,0.5
1533711726.7286007,9801,0.6875
1533711788.4715102,9901,0.65625
1533711851.2400377,10001,0.375
1533711913.8415074,10101,0.625
1533711981.409812,10201,0.4375
1533712043.6212192,10301,0.5
1533712105.774734,10401,0.40625
1533712168.2499263,10501,0.4375
1533712228.6317086,10601,0.5
1533712291.103818,10701,0.59375
1533712360.3918433,10801,0.46875
1533712420.9327528,10901,0.59375
1533712484.6399732,11001,0.5625
1533712547.5359063,11101,0.53125
1533712606.3849528,11201,0.5
1533712667.471073,11301,0.625
1533712733.323057,11401,0.625
1533712793.8305812,11501,0.625
1533712855.9162793,11601,0.65625
1533712919.7726004,11701,0.4375
1533712981.962013,11801,0.5625
1533713043.3678951,11901,0.5625
1533713112.0209014,12001,0.46875
1533713174.4748414,12101,0.40625
1533713235.600801,12201,0.46875
1533713299.3755617,12301,0.53125
1533713360.2582679,12401,0.59375
1533713422.3027995,12501,0.59375
1533713490.9385915,12601,0.625
1533713553.457952,12701,0.6875
1533713616.2873611,12801,0.53125
1533713677.398169,12901,0.46875
1533713740.4114602,13001,0.40625
1533713802.1978438,13101,0.53125
1533713871.9207833,13201,0.59375
1533713934.9683957,13301,0.6875
1533713996.4463027,13401,0.5
1533714057.0485554,13501,0.5
1533714118.8228226,13601,0.46875
1533714181.731791,13701,0.71875
1533714251.1090138,13801,0.5
1533714312.1625876,13901,0.65625
1533714373.5482209,14001,0.75
1533714432.6659682,14101,0.5625
1533714492.757508,14201,0.75
1533714555.1626782,14301,0.625
1533714624.8914478,14401,0.6875
1533714685.7569396,14501,0.65625
1533714749.7998598,14601,0.5625
1533714811.6681802,14701,0.59375
1533714873.3973503,14801,0.625
1533714936.0503733,14901,0.46875
1533715005.0287926,15001,0.4375
1533715066.8050535,15101,0.5
1533715128.3853228,15201,0.65625
1533715190.919202,15301,0.5
1533715251.9352965,15401,0.59375
1533715315.4356396,15501,0.65625
